Alpha,C_l_vals,C_d_vals
-8,-0.3138,0.10699
-7.75,-0.3173,0.10569
-7.5,-0.3424,0.10729
-7.25,-0.3139,0.10052
-7,-0.327,0.10015
-6.75,-0.3421,0.09985
-6.5,-0.325,0.09494
-6.25,-0.3359,0.09451
-6,-0.3367,0.09185
-5.75,-0.3311,0.08895
-5.5,-0.3409,0.08876
-5.25,-0.3329,0.08473
-5,-0.3351,0.08406
-4.75,-0.3297,0.08036
-4.5,-0.3266,0.07845
-4.25,-0.318,0.07681
-4,-0.3147,0.07338
-3.75,-0.304,0.07104
-3.5,-0.2901,0.06873
-3.25,-0.2789,0.06623
-3,-0.2675,0.0634
-2.75,-0.0982,0.04627
-2.5,-0.0574,0.04175
-2.25,-0.0115,0.03765
-2,0.0364,0.03385
-1.75,0.0704,0.03207
-1.5,0.098,0.03124
-1.25,0.1269,0.03049
-1,0.1511,0.03029
-0.75,0.1764,0.03019
-0.5,0.22,0.03026
-0.25,0.276,0.02993
0,0.3199,0.03062
0.25,0.3605,0.03087
0.5,0.4017,0.03083
0.75,0.4361,0.03022
1,0.4777,0.03082
1.25,0.5172,0.03168
1.5,0.5535,0.03249
1.75,0.5918,0.03322
2,0.6298,0.03387
2.25,0.6568,0.03471
2.5,0.6848,0.03553
2.75,0.7143,0.03628
3,0.7462,0.03692
3.25,0.7823,0.03732
3.5,0.8254,0.0373
3.75,0.8534,0.03785
4,0.8811,0.0384
4.25,0.9085,0.03891
4.5,0.9362,0.0394
4.75,0.9641,0.03984
5,0.993,0.04013
5.25,1.022,0.04038
5.5,1.0521,0.04042
5.75,1.0849,0.04004
6,1.1321,0.03779
6.25,1.1574,0.03729
6.5,1.1998,0.03534
6.75,1.2228,0.03545
7,1.2604,0.03441
7.25,1.2829,0.0345
7.5,1.3088,0.03385
7.75,1.3236,0.03377
8,1.3387,0.03334
8.25,1.3485,0.03315
8.5,1.3556,0.0337
8.75,1.3579,0.0352
9,1.3567,0.03767
9.25,1.3596,0.04053
9.5,1.3707,0.04315
9.75,1.3924,0.04586
10,1.4135,0.04876
10.25,1.4364,0.05205
10.5,1.4507,0.05543
10.75,1.4719,0.05926
11,1.4674,0.06277
11.25,1.4612,0.06664
11.5,1.4506,0.07075
11.75,1.4328,0.07478
12,1.4104,0.07913
12.25,1.3843,0.08402
12.5,1.3556,0.08963
12.75,1.3254,0.09608
13,1.2954,0.10342
13.25,1.2685,0.11142
13.5,1.247,0.11971
