Alpha_GOE,Cl_GOE,Cd_GOE
-8,-0.2976,0.10973
-7.75,-0.3035,0.10886
-7.5,-0.313,0.1089
-7.25,-0.3216,0.10952
-6.75,-0.3174,0.10172
-6.5,-0.3202,0.10002
-6.25,-0.3235,0.09904
-6,-0.323,0.09966
-5.75,-0.3221,0.09599
-5.5,-0.3213,0.09247
-5.25,-0.3168,0.09027
-5,-0.2943,0.09028
-4.75,-0.2986,0.08546
-4.5,-0.2907,0.0827
-4.25,-0.2681,0.08044
-4,-0.2627,0.07723
-3.75,-0.2424,0.07441
-3.5,-0.2168,0.07188
-3.25,-0.1913,0.06933
-3,-0.1695,0.06647
-2.75,-0.1505,0.0634
-2.5,-0.1323,0.06041
-2,-0.0842,0.05538
-1.75,-0.0686,0.05271
-1,-0.0469,0.04498
-0.75,-0.036,0.0425
-0.5,-0.0141,0.04026
-0.25,0.006,0.03795
0,0.0432,0.03606
0.25,0.1122,0.03495
0.5,0.2843,0.03855
0.75,0.3301,0.03893
1,0.3645,0.03898
1.25,0.3988,0.03866
1.5,0.4735,0.03846
2,0.5944,0.03811
2.25,0.6451,0.03801
2.5,0.6982,0.03772
2.75,0.7561,0.03732
3,0.8006,0.03697
3.25,0.8485,0.03549
3.5,0.8883,0.03547
3.75,0.9434,0.03468
4,0.978,0.03439
4.25,1.0245,0.03338
4.5,1.0522,0.03338
4.75,1.0906,0.03269
5,1.1155,0.03305
5.25,1.1444,0.03307
5.5,1.1766,0.03257
5.75,1.2045,0.03229
6,1.2311,0.03188
6.25,1.2619,0.03102
6.5,1.2883,0.03062
6.75,1.3141,0.03049
7,1.3396,0.03035
7.25,1.3617,0.03064
7.5,1.3827,0.03118
7.75,1.3986,0.03216
8,1.4104,0.03364
8.25,1.4218,0.03557
8.5,1.4334,0.03723
8.75,1.4454,0.03879
9,1.4567,0.04016
9.25,1.4642,0.04179
9.5,1.4739,0.04403
9.75,1.493,0.04729
10,1.5101,0.05132
10.25,1.5291,0.05567
10.5,1.5274,0.0593
10.75,1.5295,0.06345
11,1.5486,0.06886
11.25,1.5339,0.07256
11.5,1.5166,0.07657
11.75,1.4956,0.08056
12,1.4726,0.08479
12.25,1.4483,0.08955
12.5,1.4239,0.09488
12.75,1.3999,0.10082
13,1.3774,0.10732
13.25,1.2613,0.12895
13.5,1.2653,0.13385
