Alpha_SG,Cl_SG,Cd_SG
-10,-0.4932,0.08981
-9.75,-0.4557,0.09033
-9.5,-0.51,0.08199
-9.25,-0.6489,0.07664
-9,-0.6626,0.07339
-8.75,-0.6794,0.07018
-8.5,-0.6962,0.06685
-8.25,-0.7119,0.06336
-8,-0.723,0.05979
-7.75,-0.7296,0.05619
-7.5,-0.7304,0.0527
-7.25,-0.7268,0.04937
-7,-0.7193,0.04631
-6.75,-0.7047,0.04439
-6.5,-0.6915,0.04194
-6.25,-0.6757,0.04
-6,-0.6595,0.03805
-5.75,-0.6431,0.03642
-5.5,-0.6262,0.03487
-5.25,-0.6097,0.03355
-5,-0.5926,0.03235
-4.75,-0.5756,0.03129
-4.5,-0.5587,0.03031
-4.25,-0.5422,0.02936
-4,-0.5287,0.02886
-3.75,-0.5208,0.02981
-3.5,-0.5154,0.0313
-3.25,-0.5103,0.03252
-3,-0.5061,0.03347
-2.75,-0.5021,0.03418
-2.5,-0.4983,0.03467
-2.25,-0.4933,0.03494
-2,-0.4884,0.03514
-1.75,-0.4819,0.03524
-1.5,-0.4467,0.03648
-1.25,-0.3829,0.03837
-1,-0.2055,0.04221
-0.75,-0.1075,0.04322
-0.5,-0.0417,0.04371
-0.25,0.0227,0.04421
0,0.091,0.04476
0.25,0.109,0.04499
0.5,0.1268,0.04533
0.75,0.1352,0.0456
1,0.1407,0.04593
1.25,0.1565,0.04632
1.5,0.1499,0.04657
1.75,0.1699,0.04705
2,0.1512,0.04717
2.25,0.1651,0.04759
2.5,0.1462,0.04764
2.75,0.1556,0.04812
3,0.165,0.04883
3.25,0.1931,0.04986
3.5,0.2068,0.05091
3.75,0.2518,0.05226
4,0.2526,0.05341
4.25,0.2904,0.05478
4.5,0.2984,0.05618
4.75,0.3299,0.05764
5,0.3435,0.05916
5.25,0.3672,0.06072
5.5,0.4076,0.06208
5.75,0.4032,0.06397
6,0.4341,0.06541
6.25,0.448,0.06715
6.5,0.4633,0.06885
6.75,0.4902,0.07034
7,0.5232,0.0716
7.25,0.5316,0.0735
7.5,0.5449,0.07527
7.75,0.564,0.0769
8,0.586,0.07832
8.25,0.608,0.07972
8.5,0.6298,0.08106
8.75,0.6512,0.08238
9,0.6711,0.08369
9.25,0.6905,0.08497
9.5,0.71,0.08617
9.75,0.7314,0.08708
10,0.756,0.08757
10.25,0.7915,0.08664
10.5,0.8461,0.08296
10.75,1.1335,0.04869
11,0.8656,0.08582
11.25,0.877,0.087
11.5,1.2107,0.04645
11.75,1.2189,0.04791
12,1.2367,0.04945
12.25,1.2447,0.05162
12.5,1.2594,0.05387
12.75,1.2794,0.05617
13,1.2608,0.05975
13.25,1.2843,0.06218
13.5,1.2594,0.06636
13.75,1.234,0.07111
14,1.2032,0.07679
14.25,1.1498,0.08546
14.5,1.0892,0.09695
