Export File Created with QBlade v0.963 64bit on 16.05.2021 at 12:34:27
         CD = 1.2      360 Polar     T1_Re0.050_M0.00_N9.0 360 M
Alpha [deg];Cd;Alpha [deg];Cd;
    -1,80000e+02;     1,20000e+00;    -1,80000e+02;     6,00073e-03;
    -1,79000e+02;     1,20000e+00;    -1,79000e+02;     6,52628e-03;
    -1,78000e+02;     1,20000e+00;    -1,78000e+02;     8,10056e-03;
    -1,77000e+02;     1,20000e+00;    -1,77000e+02;     1,07191e-02;
    -1,76000e+02;     1,20000e+00;    -1,76000e+02;     1,43761e-02;
    -1,75000e+02;     1,20000e+00;    -1,75000e+02;     1,90647e-02;
    -1,74000e+02;     1,20000e+00;    -1,74000e+02;     2,47766e-02;
    -1,73000e+02;     1,20000e+00;    -1,73000e+02;     3,15023e-02;
    -1,72000e+02;     1,20000e+00;    -1,72000e+02;     3,92312e-02;
    -1,71000e+02;     1,20000e+00;    -1,71000e+02;     4,79515e-02;
    -1,70000e+02;     1,20000e+00;    -1,70000e+02;     5,76500e-02;
    -1,69000e+02;     1,20000e+00;    -1,69000e+02;     6,83127e-02;
    -1,68000e+02;     1,20000e+00;    -1,68000e+02;     7,99243e-02;
    -1,67000e+02;     1,20000e+00;    -1,67000e+02;     9,24682e-02;
    -1,66000e+02;     1,20000e+00;    -1,66000e+02;     1,05927e-01;
    -1,65000e+02;     1,20000e+00;    -1,65000e+02;     1,20282e-01;
    -1,64000e+02;     1,20000e+00;    -1,64000e+02;     1,35514e-01;
    -1,63000e+02;     1,20000e+00;    -1,63000e+02;     1,51603e-01;
    -1,62000e+02;     1,20000e+00;    -1,62000e+02;     1,68526e-01;
    -1,61000e+02;     1,20000e+00;    -1,61000e+02;     1,86261e-01;
    -1,60000e+02;     1,20000e+00;    -1,60000e+02;     2,04785e-01;
    -1,59000e+02;     1,20000e+00;    -1,59000e+02;     2,24073e-01;
    -1,58000e+02;     1,20000e+00;    -1,58000e+02;     2,44100e-01;
    -1,57000e+02;     1,20000e+00;    -1,57000e+02;     2,64841e-01;
    -1,56000e+02;     1,20000e+00;    -1,56000e+02;     2,86268e-01;
    -1,55000e+02;     1,20000e+00;    -1,55000e+02;     3,08354e-01;
    -1,54000e+02;     1,20000e+00;    -1,54000e+02;     3,31070e-01;
    -1,53000e+02;     1,20000e+00;    -1,53000e+02;     3,54389e-01;
    -1,52000e+02;     1,20000e+00;    -1,52000e+02;     3,78279e-01;
    -1,51000e+02;     1,20000e+00;    -1,51000e+02;     4,02712e-01;
    -1,50000e+02;     1,20000e+00;    -1,50000e+02;     4,27656e-01;
    -1,49000e+02;     1,20000e+00;    -1,49000e+02;     4,53080e-01;
    -1,48000e+02;     1,20000e+00;    -1,48000e+02;     4,78952e-01;
    -1,47000e+02;     1,20000e+00;    -1,47000e+02;     5,05240e-01;
    -1,46000e+02;     1,20000e+00;    -1,46000e+02;     5,31912e-01;
    -1,45000e+02;     1,20000e+00;    -1,45000e+02;     5,58934e-01;
    -1,44000e+02;     1,20000e+00;    -1,44000e+02;     5,86273e-01;
    -1,43000e+02;     1,20000e+00;    -1,43000e+02;     6,13895e-01;
    -1,42000e+02;     1,20000e+00;    -1,42000e+02;     6,41767e-01;
    -1,41000e+02;     1,20000e+00;    -1,41000e+02;     6,69854e-01;
    -1,40000e+02;     1,20000e+00;    -1,40000e+02;     6,98122e-01;
    -1,39000e+02;     1,20000e+00;    -1,39000e+02;     7,26537e-01;
