Export File Created with QBlade v0.963 64bit on 16.05.2021 at 13:19:23
                           curve
Alpha;Cl;
    -1,00000e+01;    -3,01155e-01;
    -9,75000e+00;    -3,04679e-01;
    -9,50000e+00;    -3,12087e-01;
    -9,25000e+00;    -3,25264e-01;
    -9,00000e+00;    -3,41728e-01;
    -8,75000e+00;    -3,58790e-01;
    -8,50000e+00;    -3,76041e-01;
    -8,25000e+00;    -3,25966e-01;
    -8,00000e+00;    -3,27034e-01;
    -7,75000e+00;    -3,37859e-01;
    -7,50000e+00;    -3,55794e-01;
    -7,25000e+00;    -3,77331e-01;
    -7,00000e+00;    -3,98703e-01;
    -6,75000e+00;    -3,64670e-01;
    -6,50000e+00;    -3,66674e-01;
    -6,25000e+00;    -3,76365e-01;
    -6,00000e+00;    -3,90086e-01;
    -5,75000e+00;    -4,05334e-01;
    -5,50000e+00;    -4,14331e-01;
    -5,25000e+00;    -4,15590e-01;
    -5,00000e+00;    -4,08701e-01;
    -4,75000e+00;    -4,05294e-01;
    -4,50000e+00;    -4,04106e-01;
    -4,25000e+00;    -3,95737e-01;
    -4,00000e+00;    -3,96654e-01;
    -3,75000e+00;    -3,92170e-01;
    -3,50000e+00;    -3,69840e-01;
    -3,25000e+00;    -3,71525e-01;
    -3,00000e+00;    -3,44076e-01;
    -2,75000e+00;    -3,48204e-01;
    -2,50000e+00;    -3,27205e-01;
    -2,25000e+00;    -3,29542e-01;
    -1,75000e+00;    -3,08232e-01;
    -1,50000e+00;    -3,06367e-01;
    -1,00000e+00;     3,16277e-03;
    -7,50000e-01;     3,74416e-02;
    -5,00000e-01;     7,33507e-02;
    -2,50000e-01;     1,06694e-01;
     0,00000e+00;     1,37889e-01;
     2,50000e-01;     1,69240e-01;
     5,00000e-01;     1,98537e-01;
     7,50000e-01;     2,40929e-01;
     1,00000e+00;     2,61147e-01;
     1,25000e+00;     2,82032e-01;
     1,50000e+00;     3,01542e-01;
     1,75000e+00;     3,75205e-01;
     2,00000e+00;     4,15148e-01;
     2,25000e+00;     4,51702e-01;
     2,50000e+00;     4,93153e-01;
     2,75000e+00;     5,27826e-01;
     3,00000e+00;     5,51492e-01;
     3,25000e+00;     5,91357e-01;
     3,50000e+00;     6,20925e-01;
     3,75000e+00;     6,45148e-01;
     4,00000e+00;     6,94255e-01;
     4,25000e+00;     7,04003e-01;
     4,50000e+00;     7,67243e-01;
     4,75000e+00;     7,64819e-01;
     5,00000e+00;     8,22995e-01;
     5,25000e+00;     8,26732e-01;
     5,50000e+00;     8,64729e-01;
     5,75000e+00;     8,88984e-01;
     6,00000e+00;     9,15460e-01;
     6,25000e+00;     9,54168e-01;
     6,50000e+00;     9,70618e-01;
     6,75000e+00;     1,02489e+00;
     7,25000e+00;     1,10736e+00;
     7,50000e+00;     1,11057e+00;
     7,75000e+00;     1,22332e+00;
     8,00000e+00;     1,26133e+00;
     8,25000e+00;     1,35758e+00;
     8,75000e+00;     1,44417e+00;
     9,00000e+00;     1,45823e+00;
     9,25000e+00;     1,47540e+00;
     9,50000e+00;     1,49355e+00;
     9,75000e+00;     1,49411e+00;
     1,00000e+01;     1,50930e+00;
     1,02500e+01;     1,53577e+00;
     1,05000e+01;     1,53261e+00;
     1,07500e+01;     1,55524e+00;
     1,10000e+01;     1,55214e+00;
     1,12500e+01;     1,59240e+00;
     1,15000e+01;     1,57915e+00;
     1,17500e+01;     1,56509e+00;
     1,20000e+01;     1,55412e+00;
     1,22500e+01;     1,58455e+00;
     1,25000e+01;     1,55833e+00;
     1,27500e+01;     1,52983e+00;
     1,30000e+01;     1,49776e+00;
     1,32500e+01;     1,46079e+00;
     1,35000e+01;     1,41963e+00;
     1,37500e+01;     1,37556e+00;
     1,40000e+01;     1,33171e+00;
     1,45000e+01;     1,12027e+00;
     1,50000e+01;     1,04321e+00;
     1,52500e+01;     1,05325e+00;
     1,55000e+01;     1,09278e+00;
     1,57500e+01;     1,06324e+00;
     1,60000e+01;     1,06572e+00;
     1,62500e+01;     1,08349e+00;
     1,65000e+01;     1,13310e+00;
     1,67500e+01;     1,10783e+00;
     1,70000e+01;     1,08279e+00;
     1,72500e+01;     1,08655e+00;
     1,75000e+01;     1,10416e+00;
     1,77500e+01;     1,12300e+00;
     1,80000e+01;     1,10094e+00;
     1,82500e+01;     1,10512e+00;
     1,85000e+01;     1,11887e+00;
     1,87500e+01;     1,16436e+00;
     1,90000e+01;     1,14488e+00;
     1,92500e+01;     1,12243e+00;
     1,95000e+01;     1,12046e+00;
     1,97500e+01;     1,12499e+00;
     2,00000e+01;     1,13359e+00;
     2,02500e+01;     1,15408e+00;
     2,05000e+01;     1,17125e+00;
     2,07500e+01;     1,14942e+00;
     2,10000e+01;     1,13524e+00;
     2,12500e+01;     1,13511e+00;
     2,15000e+01;     1,14514e+00;
     2,17500e+01;     1,18248e+00;
     2,20000e+01;     1,16123e+00;
     2,22500e+01;     1,13835e+00;
     2,25000e+01;     1,12484e+00;
     2,27500e+01;     1,11297e+00;
     2,32500e+01;     9,88071e-01;
     2,35000e+01;     9,84148e-01;
     2,37500e+01;     1,06070e+00;
     2,40000e+01;     1,00152e+00;
     2,42500e+01;     9,66193e-01;
     2,45000e+01;     9,45167e-01;
     2,47500e+01;     9,36217e-01;
     2,50000e+01;     9,30951e-01;
     2,52500e+01;     9,27133e-01;
     2,55000e+01;     9,25693e-01;
     2,57500e+01;     9,44049e-01;
     2,60000e+01;     9,21259e-01;
     2,62500e+01;     9,11628e-01;
     2,65000e+01;     9,07809e-01;
     2,67500e+01;     9,05234e-01;
     2,70000e+01;     9,03515e-01;
     2,72500e+01;     9,03340e-01;
     2,75000e+01;     9,25170e-01;
     2,77500e+01;     9,09305e-01;
     2,80000e+01;     8,97571e-01;
     2,82500e+01;     8,91295e-01;
     2,85000e+01;     8,88872e-01;
     2,87500e+01;     8,87534e-01;
     2,90000e+01;     8,87520e-01;
     2,92500e+01;     8,97968e-01;
     2,95000e+01;     8,89147e-01;
     2,97500e+01;     8,83158e-01;
     3,00000e+01;     8,79731e-01;
     3,02500e+01;     8,78022e-01;
     3,05000e+01;     8,76778e-01;
     3,07500e+01;     8,75635e-01;
     3,10000e+01;     8,74572e-01;
     3,12500e+01;     8,73586e-01;
     3,15000e+01;     8,72679e-01;
     3,17500e+01;     8,71865e-01;
     3,20000e+01;     8,71317e-01;
     3,22500e+01;     8,73267e-01;
     3,60000e+01;     8,53025e-01;
     3,62500e+01;     8,51860e-01;
     3,65000e+01;     8,50627e-01;
     3,67500e+01;     8,49375e-01;
     3,70000e+01;     8,48829e-01;

